class_name,num_internal,num_external 
AbstractHibernateAcceptanceTest,16,4
HibernateCollectionsTypeCompatibilityTest,24,7
HibernateReferenceTest,23,11
Department,6,2
Division,5,1
Person,7,2
Site,5,1
AbsoluteSingleNodeXPathReferenceTest,40,5
AbsoluteXPathReferenceTest,40,5
AbstractAcceptanceTest,14,6
AbstractBuilderAcceptanceTest,14,4
AbstractReferenceTest,34,12
AliasTest,36,27
ArraysTest,27,4
AttributeTest,31,14
BasicTypesTest,28,2
BeanIDCircularReferenceTest,38,7
BooleanFieldsTest,17,5
BufferedImagesTest,17,3
CglibCompatibilityTest,27,11
ClassLoaderTest,15,4
CollectionsTest,36,10
ConcreteClassesTest,18,6
ConcurrencyTest,15,5
ConcurrentTypesTest,16,6
CustomClassesTest,27,10
CustomConverterTest,15,4
CustomFieldKeySorterTest,15,3
CustomMapperTest,19,15
CustomSerializationTest,26,5
DataHolderTest,16,13
DefaultImplementationTest,18,6
DynamicProxyTest,18,8
EncodingTestSuite,4,6
ErrorTest,19,3
ExtendedTypesTest,37,7
ExternalizableTest,18,6
FinalFieldsTest,16,4
IDReferenceTest,38,5
ImplicitArrayTest,41,10
ImplicitCollectionTest,41,10
ImplicitMapTest,41,17
ImplicitTest,19,10
InheritanceTest,18,4
InnerClassesTest,16,6
JodaTimeTypesTest,15,2
LambdaTest,21,5
LocalConverterTest,17,9
MapTest,28,6
MultipleObjectsInOneStreamTest,23,24
NamedLocalElementsTest,39,13
OmitFieldsTest,31,10
PersistenceTest,19,9
QNameMappedConcreteClassesTest,24,18
ReadResolveTest,17,4
ReflectionClassesTest,21,2
RelativeSingleNodeXPathReferenceTest,37,5
RelativeXPathReferenceTest,41,5
SecurityManagerTest,11,11
SecurityVulnerabilityTest,20,7
SerializationCallbackOrderTest,49,7
SerializationNestedWriteObjectsTest,20,6
SortableFieldListTest,16,3
SwingTest,17,3
Time18TypesTest,114,3
TreeMapAndTreeSetTest,24,5
WriteReplaceTest,26,6
XStream11XmlFriendlyTest,18,5
XStream12CompatibilityTest,18,10
XStream13CompatibilityTest,16,2
XStreamBuilderTest,22,20
XStreamerTest,21,7
XmlFriendlyDollarOnlyTest,24,3
XmlFriendlyTest,24,4
AliasTest,20,9
AnnotationsTest,22,6
AttributesTest,20,3
FieldConverterTest,21,7
ImplicitArrayTest,19,2
ImplicitCollectionTest,20,3
ImplicitMapTest,19,4
OmitFieldTest,15,2
ParametrizedConverterTest,25,14
XStreamBuilderAnnotationsTest,15,6
Hardware,8,1
OpenSourceSoftware,10,2
Original,8,1
OwnerOfExternalizable,7,1
Replaced,8,1
SampleLists,8,1
SampleMaps,8,1
Software,8,1
SomethingExternalizable,11,1
FunnyConstructor,7,1
U,8,1
WithList,7,1
WithNamedList,10,1
X,9,1
Y,7,1
Z,7,1
XStream,131,69
XStreamTest,22,34
XStreamer,12,21
XStreamConverter,14,1
Base64Benchmark,4,2
ConverterTypeBenchmark,9,19
NameCoderBenchmark,11,9
ParserBenchmark,10,16
StringConverterBenchmark,11,12
FieldConfig,5,1
TypeConfig,5,1
XStreamBuilder,17,1
AbsoluteReferencesProcessor,1,2
AliasFieldProcessor,2,1
AliasTypeProcessor,2,1
ConverterProcessor,2,1
IdReferencesProcessor,1,2
IgnoreFieldProcessor,2,1
ImplementedByProcessor,2,1
NoReferencesProcessor,1,2
AnnotatedTypeProcessor,1,1
SingleValueConverterWrapper,7,3
BigDecimalConverter,3,1
BigIntegerConverter,3,1
BooleanConverter,10,2
ByteConverter,3,1
CharConverter,5,3
DateConverter,12,12
DateConverterTest,15,5
DoubleConverter,3,1
FloatConverter,3,1
IntConverter,3,1
LongConverter,3,1
NullConverter,3,2
ShortConverter,3,1
StringBufferConverter,3,1
StringBuilderConverter,3,1
StringConverter,6,3
URIConverter,3,1
URIConverterTest,19,4
URLConverter,3,1
URLConverterTest,15,1
UUIDConverter,3,1
AbstractCollectionConverter,13,9
ArrayConverter,13,3
BitSetConverter,3,2
BitSetConverterTest,15,1
ByteArrayConverterTest,16,2
CharArrayConverter,3,2
CharArrayConverterTest,15,1
CollectionConverter,17,6
MapConverter,17,9
PropertiesConverter,5,11
PropertiesConverterTest,17,2
SingletonCollectionConverter,19,2
SingletonMapConverter,18,3
TreeMapConverter,22,15
TreeSetConverter,21,9
EnumConverter,3,3
EnumConverterTest,6,9
EnumCustomConverterTest,6,17
EnumMapConverter,18,8
EnumMapConverterTest,3,6
EnumMapperTest,5,14
EnumSetConverter,7,9
EnumSetConverterTest,6,8
EnumSingleValueConverter,4,1
EnumToStringConverter,9,2
EnumToStringConverterTest,5,12
PolymorphicEnum,4,1
ActivationDataFlavorConverter,3,10
ActivationDataFlavorConverterTest,17,3
CharsetConverter,3,1
CharsetConverterTest,15,1
ColorConverter,4,8
CurrencyConverter,3,1
DurationConverter,4,2
DurationConverterTest,2,2
DynamicProxyConverter,8,21
EncodedByteArrayConverter,8,9
EncodedByteArrayConverterTest,18,4
FileConverter,3,1
FontConverter,5,18
FontConverterTest,9,4
GregorianCalendarConverter,3,7
GregorianCalendarConverterTest,1,2
ISO8601DateConverter,4,1
ISO8601DateConverterTest,6,4
ISO8601GregorianCalendarConverter,4,3
ISO8601GregorianCalendarConverterTest,30,5
ISO8601SqlTimestampConverter,5,1
ISO8601SqlTimestampConverterTest,7,7
JavaClassConverter,4,5
JavaClassConverterTest,19,5
JavaFieldConverter,5,14
JavaMethodConverter,5,12
JavaMethodConverterTest,17,1
LocaleConverter,4,1
LookAndFeelConverter,22,1
NamedArrayConverter,6,13
NamedCollectionConverter,19,11
NamedMapConverter,29,24
PathConverter,3,1
PropertyEditorCapableConverter,5,2
PropertyEditorCapableConverterTest,2,6
RegexPatternConverter,3,6
RegexPatternConverterTest,16,1
SqlDateConverter,3,1
SqlTimeConverter,3,1
SqlTimestampConverter,4,4
StackTraceElementConverter,5,2
StackTraceElementConverter9Test,19,1
StackTraceElementConverterTest,22,1
SubjectConverter,22,8
TextAttributeConverter,9,1
ThrowableConverter,9,3
ThrowableConverterTest,30,4
ToAttributedValueConverter,11,32
ToAttributedValueConverterTest,12,14
ToStringConverter,5,1
ToStringConverterTest,6,3
UseAttributeForEnumMapper,51,2
BeanProvider,13,4
JavaBeanConverter,8,29
JavaBeanConverterTest,12,14
PropertyDictionary,9,2
PropertyDictionaryTest,4,3
AbstractAttributedCharacterIteratorAttributeConverter,9,3
AbstractReflectionConverter,21,48
AbstractReflectionProviderTest,11,4
CGLIBEnhancedConverter,46,21
ExternalizableConverter,7,23
FieldDictionary,13,3
FieldDictionaryTest,8,3
LambdaConverter,37,3
NativeFieldKeySorter,1,2
NativeFieldKeySorterTest,2,1
PureJavaReflectionProvider,15,6
PureJavaReflectionProviderTest,19,3
ReflectionConverter,22,2
ReflectionConverterTest,4,12
SelfStreamingInstanceChecker,7,1
SerializableConverter,37,40
SerializableConverterTest,9,8
SortableFieldKeySorter,5,1
SortableFieldKeySorterTest,5,2
Sun14ReflectionProvider,20,2
SunLimitedUnsafeReflectionProvider,17,2
SunLimitedUnsafeReflectionProviderTest,13,2
SunUnsafeReflectionProvider,20,3
SunUnsafeReflectionProviderTest,13,1
XStream12FieldKeySorter,1,2
AbstractChronoLocalDateConverter,7,1
DurationConverter,3,1
HijrahDateConverter,8,1
InstantConverter,3,1
JapaneseDateConverter,7,1
JapaneseEraConverter,3,1
LocalDateConverter,3,1
MinguoDateConverter,7,1
MonthDayConverter,3,1
PeriodConverter,3,1
SystemClockConverter,5,7
ThaiBuddhistDateConverter,7,1
ValueRangeConverter,5,12
WeekFieldsConverter,4,14
YearConverter,3,1
YearMonthConverter,3,1
AbstractReferenceMarshaller,21,11
AbstractReferenceUnmarshaller,25,8
AbstractTreeMarshallingStrategy,4,2
DefaultConverterLookup,8,4
DefaultConverterLookupTest,1,3
JVM,56,5
JVMTest,1,1
MapBackedDataHolder,4,1
ReferenceByIDMarshallingStrategyTest,17,7
ReferenceByIdMarshaller,22,4
ReferenceByIdMarshallingStrategy,4,1
ReferenceByIdUnmarshaller,25,3
ReferenceByXPathMarshaller,22,6
ReferenceByXPathMarshallingStrategy,8,1
ReferenceByXPathMarshallingStrategyTest,22,17
ReferenceByXPathUnmarshaller,27,5
TreeMarshaller,14,10
TreeMarshallerTest,16,3
TreeMarshallingStrategy,4,1
TreeUnmarshaller,20,12
TreeUnmarshallerTest,16,3
Base64Encoder,7,1
Base64EncoderTest,34,4
Base64JAXBCodecTest,27,3
Base64JavaUtilCodec,4,1
Base64JavaUtilCodecTest,27,3
CloneablesTest,7,4
CustomObjectInputStream,39,8
CustomObjectOutputStream,30,6
DependencyInjectionFactory,3,3
DependencyInjectionFactoryTest,10,2
FastField,7,1
FastStackTest,1,4
HierarchicalStreams,2,4
ISO8601JavaTimeConverter,17,1
ISO8601JodaTimeConverter,5,1
ObjectIdDictionaryTest,3,4
OrderRetainingMapTest,9,1
PresortedMap,20,1
PresortedSet,23,2
PrioritizedListTest,5,2
QuickWriter,10,1
QuickWriterTest,1,3
SelfStreamingInstanceChecker,7,1
ThreadSafePropertyEditor,5,1
ThreadSafeSimpleDateFormat,7,2
ThreadSafeSimpleDateFormatTest,2,2
WeakCache,16,1
XmlHeaderAwareReaderTest,7,2
HibernatePersistentCollectionConverter,17,6
HibernatePersistentMapConverter,17,3
HibernatePersistentSortedMapConverter,22,3
HibernatePersistentSortedSetConverter,21,3
HibernateProxyConverter,3,1
HibernateMapper,40,12
AbstractDriver,8,1
AbstractReader,20,2
AbstractWriter,11,2
AttributeNameIterator,6,2
DriverEndToEndTestSuite,5,25
ExtendedHierarchicalStreamWriterHelper,1,1
StatefulWriter,21,4
StatefulWriterTest,13,6
BinaryStreamDriver,8,1
BinaryStreamReader,22,14
BinaryStreamTest,18,9
Token,29,1
HierarchicalStreamCopier,1,12
HierarchicalStreamCopierTest,17,4
AbstractJsonWriter,40,8
JettisonMappedXmlDriver,12,3
JettisonMappedXmlDriverTest,27,22
JettisonStaxWriter,22,6
JsonHierarchicalStreamDriver,8,2
JsonHierarchicalStreamDriverTest,35,10
JsonHierarchicalStreamWriter,48,3
JsonWriter,48,6
JsonWriterFormatTest,9,33
JsonWriterModeDroppingRootTest,36,9
JsonWriterModeTest,13,15
StaticNameCoderTest,5,4
Path,13,4
PathTest,2,6
PathTracker,12,1
PathTrackerTest,5,6
PathTrackingReader,17,6
PathTrackingReaderTest,2,4
PathTrackingWriter,11,4
PathTrackingWriterTest,7,6
AbstractDocumentReader,29,6
AbstractDocumentWriter,18,6
AbstractDocumentWriterTest,12,12
AbstractPullReader,40,7
AbstractReaderTest,15,12
AbstractStaxReaderTest,36,8
AbstractStaxWriterTest,25,13
AbstractXMLReaderTest,31,7
AbstractXMLWriterTest,11,4
AbstractXmlDriver,9,2
AbstractXmlReader,22,2
AbstractXmlWriter,12,2
AbstractXppDomDriver,10,2
AbstractXppDriver,10,1
BEAStaxDriver,27,4
BEAStaxReaderTest,37,3
BEAStaxWriterTest,25,1
CompactWriter,37,6
CompactWriterTest,17,7
Dom4JDriver,16,4
Dom4JReader,30,4
Dom4JReaderTest,32,4
Dom4JWriter,20,3
Dom4JWriterTest,13,1
Dom4JXmlWriter,18,6
Dom4JXmlWriterTest,13,4
DomDriver,13,3
DomReader,32,3
DomReaderTest,33,7
DomWriter,21,4
DomWriterTest,16,5
JDom2AcceptanceTest,4,11
JDom2Driver,9,1
JDom2Reader,30,2
JDom2ReaderTest,32,4
JDom2Writer,20,4
JDom2WriterTest,13,1
JDomAcceptanceTest,4,10
JDomDriver,10,2
JDomReader,30,3
JDomReaderTest,32,4
JDomWriter,20,4
JDomWriterTest,13,1
KXml2DomDriver,10,1
KXml2Driver,10,1
KXml2ReaderTest,32,2
PrettyPrintWriter,37,11
PrettyPrintWriterTest,24,10
SaxWriter,44,5
SaxWriterTest,12,12
SimpleStaxDriver,10,4
SjsxpDriver,27,4
SjsxpReaderTest,38,2
SjsxpWriterTest,27,3
StandardStaxDriver,27,6
StandardStaxReaderTest,36,1
StaxDriver,27,5
StaxDriverTest,15,4
StaxReader,42,4
StaxReaderTest,36,1
StaxWriter,20,4
TraxSource,12,2
WstxDriver,27,4
WstxReaderTest,36,1
WstxWriterTest,26,2
XStream11NameCoder,18,1
XStream11XmlFriendlyReplacer,20,1
XmlFriendlyNameCoder,18,2
XmlFriendlyReplacer,20,2
XomDriver,12,3
XomReader,30,3
XomReaderTest,32,4
XomWriter,19,3
XomWriterTest,13,1
Xpp3DomDriver,10,1
Xpp3Driver,10,1
Xpp3ReaderTest,32,2
XppDomDriver,10,2
XppDomReader,30,4
XppDomReaderTest,32,9
XppDomWriter,20,5
XppDomWriterTest,13,1
XppDriver,12,2
XppReader,43,5
XppReaderTest,31,2
Xpp3Dom,24,1
Xpp3DomBuilder,1,1
XppDomComparator,3,7
XppDomComparatorTest,19,2
XppFactory,4,1
AbstractAttributeAliasingMapper,43,1
AbstractXmlFriendlyMapper,48,1
AnnotationMapper,69,50
ArrayMapper,41,4
AttributeAliasingMapper,43,1
AttributeMapper,50,4
CGLIBMapper,41,2
CachingMapper,42,1
ClassAliasingMapper,47,2
DefaultClassMapperTest,7,2
DefaultImplementationsMapper,44,1
DefaultMapper,29,4
DynamicProxyMapper,42,2
ElementIgnoringMapper,44,1
EnumMapper,44,3
FieldAliasingMapper,47,3
FieldAliasingMapperTest,15,4
ImmutableTypesMapper,43,1
ImplicitCollectionMapper,46,3
ImplicitCollectionMapperTest,11,13
LambdaMapper,39,2
LocalConversionMapper,44,3
MapperWrapper,39,1
OuterClassMapper,44,2
PackageAliasingMapper,46,1
SecurityMapper,41,5
SecurityMapperTest,12,11
SystemAttributeAliasingMapper,43,1
XStream11XmlFriendlyMapper,49,1
AbstractFilePersistenceStrategy,18,2
FilePersistenceStrategy,21,8
FilePersistenceStrategyTest,34,8
FileStreamStrategy,20,2
FileStreamStrategyTest,33,8
XmlArrayList,7,3
XmlArrayListTest,31,3
XmlMap,6,1
XmlMapTest,27,5
XmlSet,5,1
XmlSetTest,22,3
AnyTypePermission,4,1
ArrayTypePermission,4,1
CGLIBProxyTypePermission,4,1
ExplicitTypePermission,2,1
InterfaceTypePermission,4,1
NoTypePermission,4,1
PrimitiveTypePermission,4,2
ProxyTypePermission,4,1
RegExpTypePermission,3,1
WildcardTypePermission,4,1
Harness,8,9
CharacterCountMetric,6,2
DeserializationSpeedMetric,7,5
SerializationSpeedMetric,6,2
SizeMetric,5,2
Five,7,1
FiveBean,17,1
SerializableFive,11,1
XStreamBEAStax,5,1
XStreamBinary,4,2
XStreamCompact,4,2
XStreamDom,5,1
XStreamDom4J,5,2
XStreamDriver,5,7
XStreamJDom,5,1
XStreamKXml2,5,1
XStreamKXml2DOM,5,1
XStreamSjsxp,5,1
XStreamStax,5,1
XStreamWoodstox,5,1
XStreamXom,5,1
XStreamXpp,5,1
XStreamXpp3,5,1
XStreamXpp3DOM,5,1
HtmlReporter,16,7
TextReporter,11,2
ExtendedTarget,6,1
JavaBeanTarget,4,5
ListTarget,4,2
UserDefinedClassTarget,4,4
