class_name,code_lines,fields_num,methods_num
PublicNonStaticInnerClass,1,0,0
PrivateNonStaticInnerClass,1,0,0
WithConstructorThatDoesStuff,5,0,0
WithoutDefaultConstructor,4,0,0
WithPrivateDefaultConstructor,8,0,0
SerializableWithoutDefaultConstructor,10,3,0
NonStaticSerializableWithoutDefaultConstructor,8,1,0
WithFinalField,11,1,1
PureJavaReflectionProviderTest,123,0,9
ReflectionConverter,26,1,1
World,18,16,0
TypesOfFields,6,4,0
1,12,0,2
CustomReflectionConverter,6,0,0
ReflectionConverterTest,139,0,4
ReflectionProviderWrapper,48,1,7
SelfStreamingInstanceChecker,7,0,0
1,103,0,5
1,10,0,1
2,121,0,5
1,9,0,1
UnserializableParentsReflectionProvider,19,0,1
SerializableConverter,464,10,9
SimpleType,29,3,6
ExtendedType,20,2,4
SimpleNamedFieldsType,40,4,6
SerializableType,4,2,0
SerializableConverterTest,325,0,9
SerializationMethodInvoker,63,1,7
FieldComparator,36,2,2
SortableFieldKeySorter,74,2,3
Base,3,1,0
Child,1,0,0
Mother,3,2,0
SortableFieldKeySorterTest,76,0,5
Sun14ReflectionProvider,22,0,1
SunLimitedUnsafeReflectionProvider,74,2,3
WithFinalFields,24,9,0
Unistantiatable,15,0,0
SunLimitedUnsafeReflectionProviderTest,87,0,3
SunUnsafeReflectionProvider,89,1,5
SunUnsafeReflectionProviderTest,9,0,1
1,11,0,1
XStream12FieldKeySorter,22,0,1
AbstractChronoLocalDateConverter,47,1,3
ChronologyConverter,26,0,3
DurationConverter,18,0,2
HijrahDateConverter,39,1,4
InstantConverter,18,0,2
JapaneseDateConverter,24,0,4
JapaneseEraConverter,21,0,2
LocalDateConverter,19,0,2
LocalDateTimeConverter,37,1,3
LocalTimeConverter,37,1,3
MinguoDateConverter,24,0,4
MonthDayConverter,18,0,2
OffsetDateTimeConverter,38,1,3
OffsetTimeConverter,38,1,3
PeriodConverter,18,0,2
SystemClockConverter,36,2,3
ThaiBuddhistDateConverter,24,0,4
ValueRangeConverter,58,1,4
WeekFieldsConverter,61,1,3
YearConverter,18,0,2
YearMonthConverter,18,0,2
ZoneIdConverter,30,0,3
ZonedDateTimeConverter,42,1,3
ConversionException,15,1,0
ConversionExceptionTest,30,0,2
ErrorWritingException,114,3,7
SingleValueConverterWrapper,41,1,6
ArrayIterator,25,3,3
Base64Encoder,121,3,4
Base64EncoderTest,161,1,19
Base64JAXBCodec,12,0,2
Base64JAXBCodecTest,104,1,12
Base64JavaUtilCodec,38,2,2
Base64JavaUtilCodecTest,104,1,12
Replacement,7,0,1
ClassLoaderReference,52,1,4
Cloneables,38,0,2
CloneableTypedNull,10,0,1
UncloneableTypedNull,5,0,0
CloneablesTest,60,0,7
CompositeClassLoader,91,2,4
CustomGetField,68,1,12
CustomObjectInputStream,327,3,36
CustomPutField,59,1,11
CustomObjectOutputStream,248,3,27
DefaultDriver,8,0,2
1,6,0,1
TypedValue,15,2,1
DependencyInjectionFactory,257,0,3
Thing,39,3,3
DependencyInjectionFactoryTest,171,0,10
FastField,51,2,5
FastStack,78,2,12
FastStackTest,19,0,1
Fields,74,0,5
HierarchicalStreams,26,0,2
ISO8601JavaTimeConverter,242,14,3
ISO8601JodaTimeConverter,88,2,3
IdWrapper,30,2,4
WeakIdWrapper,25,1,3
ObjectIdDictionary,108,2,6
ObjectIdDictionaryTest,42,0,3
ArraySet,3,1,0
OrderRetainingMap,76,3,7
OrderRetainingMapTest,70,1,8
Pool,73,5,3
ArraySet,3,1,0
1,17,0,3
ArraySetComparator,34,2,1
PresortedMap,176,2,18
PresortedSet,124,2,21
Primitives,78,4,5
PrioritizedItem,36,3,3
PrioritizedItemIterator,24,1,3
PrioritizedList,81,3,2
PrioritizedListTest,69,0,5
QuickWriter,91,3,7
QuickWriterTest,14,0,1
SelfStreamingInstanceChecker,46,3,4
1,5,0,1
SerializationMembers,211,7,11
1,16,0,1
ThreadSafePropertyEditor,53,2,3
1,9,0,1
ThreadSafeSimpleDateFormat,60,3,4
1,7,0,1
2,27,0,1
ThreadSafeSimpleDateFormatTest,87,0,2
TypedNull,12,1,1
Types,8,1,1
1,8,0,1
2,9,0,1
3,11,0,1
1,19,0,3
4,29,0,1
Type,1,3,0
WeakCache,198,1,15
WeakCacheTest,155,0,7
XmlHeaderAwareReader,228,10,16
XmlHeaderAwareReaderTest,61,0,7
1,55,0,9
Id,17,2,2
ReferencedImplicitElementException,9,1,0
AbstractReferenceMarshaller,128,4,4
AbstractReferenceUnmarshaller,60,3,3
AbstractTreeMarshallingStrategy,22,0,4
ClassLoaderReference,23,1,3
DefaultConverterLookup,82,3,5
DefaultConverterLookupTest,18,0,1
EvilClass,10,0,1
Test,24,9,0
1,6,0,1
JVM,614,18,38
JVMTest,10,0,1
MapBackedDataHolder,26,1,3
List,4,2,0
ReferenceByIDMarshallingStrategyTest,46,0,3
ReferenceByIdMarshaller,38,1,3
ReferenceByIdMarshallingStrategy,14,0,2
ReferenceByIdUnmarshaller,19,0,2
ReferenceByXPathMarshaller,31,1,3
ReferenceByXPathMarshallingStrategy,23,4,2
Thing,12,2,0
CountingXPathStrategy,29,2,2
DomainType,8,2,0
ReferenceByXPathMarshallingStrategyTest,202,0,8
ReferenceByXPathUnmarshaller,28,2,2
SequenceGenerator,14,1,1
CircularReferenceException,7,1,0
TreeMarshaller,95,5,9
Thing,3,1,0
TreeMarshallerTest,26,0,2
TreeMarshallingStrategy,14,0,2
TreeUnmarshaller,124,7,13
AddressBook,21,1,2
Address,34,2,4
TreeUnmarshallerTest,89,0,2
HibernatePersistentCollectionConverter,26,0,2
HibernatePersistentMapConverter,22,0,2
HibernatePersistentSortedMapConverter,22,0,2
HibernatePersistentSortedSetConverter,22,0,2
HibernateProxyConverter,18,0,3
HibernateMapper,44,1,2
Hibernate,48,11,2
BinaryStreamDriver,28,0,4
IdRegistry,17,1,2
BinaryStreamReader,206,5,17
BinaryStreamTest,58,1,3
IdRegistry,16,2,1
BinaryStreamWriter,83,3,9
State,8,6,0
Attribute,4,2,0
1,17,0,3
ReaderDepthState,131,2,15
Formatter,44,0,3
MapIdToValue,25,0,2
StartNode,22,0,2
EndNode,15,0,2
Attribute,25,0,2
Value,22,0,2
Token,298,17,12
TokenTest,88,3,11
HierarchicalStreamCopier,19,0,1
HierarchicalStreamCopierTest,35,1,2
Type,6,4,0
StackElement,9,2,0
IllegalWriterStateException,40,1,1
AbstractJsonWriter,646,18,16
JettisonMappedXmlDriver,134,4,6
Topic,6,4,0
SpecialCharacters,5,2,0
JettisonMappedXmlDriverTest,290,3,24
JettisonStaxWriter,92,2,3
JsonHierarchicalStreamDriver,58,0,6
Message,26,20,0
MenuWithList,5,3,0
PopupWithList,9,1,0
MenuWithArray,5,3,0
PopupWithArray,5,1,0
MenuWithSet,5,3,0
PopupWithSet,10,1,0
MenuItem,15,2,1
Widget,6,4,0
Window,6,4,0
Image,7,5,0
Text,10,8,0
Msg,8,2,0
ElementWithEmptyArray,3,1,0
MapHolder,3,1,0
CollectionKeeper,3,1,0
Person,6,4,0
SingleValue,4,2,0
SystemAttributes,5,3,0
JsonHierarchicalStreamDriverTest,708,7,28
JsonHierarchicalStreamWriter,42,0,0
Format,88,6,4
JsonWriter,360,4,14
YString,12,1,1
HandlerConverter,34,0,3
JsonWriterFormatTest,339,5,4
1,9,0,1
2,9,0,1
JsonWriterModeDroppingRootTest,127,0,8
JsonWriterModeTest,149,4,9
NameCoderWrapper,35,1,4
NoNameCoder,23,0,4
StaticNameCoder,67,4,6
StaticNameCoderTest,72,0,5
Path,170,4,9
1,11,0,1
PathTest,88,0,2
PathTracker,134,5,7
PathTrackerTest,139,1,4
PathTrackingReader,29,1,3
PathTrackingReaderTest,49,0,2
PathTrackingWriter,29,2,3
PathTrackingWriterTest,59,3,4
Xpp3Dom,11,1,0
Xpp3DomBuilder,15,0,1
XppDom,204,7,16
XppDomComparator,132,1,2
XppDomComparatorTest,226,2,17
XppFactory,58,0,4
Pointer,3,1,0
AbstractDocumentReader,88,2,11
AbstractDocumentWriter,88,2,8
AbstractDocumentWriterTest,116,2,10
Event,4,2,0
AbstractPullReader,214,10,15
AbstractReaderTest,238,0,15
AbstractStaxReaderTest,116,0,6
AbstractStaxWriterTest,124,3,11
AbstractXMLReaderTest,144,2,14
AbstractXMLWriterTest,106,1,10
AbstractXmlDriver,44,0,1
AbstractXmlReader,43,0,2
AbstractXmlWriter,32,0,1
AbstractXppDomDriver,55,0,5
AbstractXppDriver,51,0,5
BEAStaxDriver,67,0,2
BEAStaxReaderTest,37,0,6
BEAStaxWriterTest,32,0,4
CompactWriter,49,0,1
1,8,0,1
CompactWriterTest,78,1,6
1,6,0,1
Dom4JDriver,143,2,11
Dom4JReader,117,1,12
Dom4JReaderTest,76,0,8
Dom4JWriter,95,1,4
Dom4JWriterTest,15,0,2
Dom4JXmlWriter,119,5,7
Dom4JXmlWriterTest,29,1,2
DomDriver,113,2,8
DomReader,128,3,11
DomReaderTest,113,0,10
DomWriter,90,2,4
DomWriterTest,62,1,4
JDom2AcceptanceTest,59,1,3
JDom2Driver,87,0,7
JDom2Reader,91,1,11
JDom2ReaderTest,85,0,10
JDom2Writer,81,1,4
JDom2WriterTest,15,0,2
JDomAcceptanceTest,59,1,3
JDomDriver,97,0,7
JDomReader,113,1,11
JDomReaderTest,85,0,10
JDomWriter,93,1,4
JDomWriterTest,15,0,2
KXml2DomDriver,29,0,1
KXml2Driver,29,0,1
KXml2ReaderTest,29,1,2
PrettyPrintWriter,288,19,13
1,11,0,2
2,6,0,1
PrettyPrintWriterTest,287,1,16
QNameMap,73,4,8
SaxWriter,642,14,24
TrAXErrorListener,20,0,3
SaxWriterTest,197,4,8
StandardStaxDriverExtension,18,0,1
SimpleStaxDriver,74,2,6
SjsxpDriver,75,0,2
1,11,0,2
SjsxpReaderTest,55,1,7
1,11,0,2
SjsxpWriterTest,46,1,4
StandardStaxDriver,83,0,2
StandardStaxReaderTest,35,0,6
1,12,0,1
StaxDriver,214,3,21
MyStaxDriver,20,2,2
StaxDriverTest,32,0,1
StaxReader,98,2,9
StaxReaderTest,63,0,8
StaxWriter,201,5,9
TraxSource,248,4,8
WstxDriver,53,0,2
WstxReaderTest,56,0,7
WstxWriterTest,26,0,4
XStream11NameCoder,18,0,2
XStream11XmlFriendlyReplacer,39,0,3
XmlFriendlyNameCoder,567,7,11
XmlFriendlyReplacer,49,0,2
XomDriver,139,1,8
XomReader,113,1,11
XomReaderTest,71,0,10
XomWriter,53,0,4
XomWriterTest,15,0,2
Xpp3DomDriver,26,0,1
Xpp3Driver,26,0,1
Xpp3ReaderTest,30,1,3
XppDomDriver,27,0,1
XppDomReader,91,1,11
XppDomReaderTest,75,0,4
XppDomWriter,72,0,5
XppDomWriterTest,15,0,2
XppDriver,44,1,2
XppReader,152,2,10
XppReaderTest,29,0,3
AbstractDriver,43,1,3
AttributeNameIterator,25,2,3
AbstractReader,108,1,7
AbstractWriter,55,1,4
AttributeNameIterator,27,3,3
1,11,0,1
2,6,0,1
3,6,0,1
DriverEndToEndTestSuite,118,0,5
ExtendedHierarchicalStreamWriterHelper,11,0,1
ReaderWrapper,83,1,15
StatefulWriter,151,8,11
StatefulWriterTest,154,2,11
StreamException,18,1,0
WriterWrapper,49,1,8
AbstractAttributeAliasingMapper,23,2,2
AbstractXmlFriendlyMapper,78,4,5
1,12,1,1
UnprocessedTypesSet,30,1,1
AnnotationMapper,498,12,22
ArrayMapper,76,0,4
AttributeAliasingMapper,18,0,2
AttributeMapper,102,5,9
CGLIBMapper,33,2,2
CachingMapper,41,1,3
CannotResolveClassException,14,1,0
ClassAliasingMapper,77,3,7
DefaultClassMapperTest,54,1,6
DefaultImplementationsMapper,56,2,5
DefaultMapper,208,2,27
DynamicProxy,1,0,0
DynamicProxyMapper,45,1,4
ElementIgnoringMapper,43,2,5
EnumMapper,90,2,8
FieldAliasingMapper,70,3,7
FieldAliasingMapperTest,17,0,1
ImmutableTypesMapper,51,2,4
ImplicitCollectionMapperForClass,82,4,5
ImplicitCollectionMappingImpl,39,4,5
NamedItemType,36,2,3
ImplicitCollectionMapper,288,2,8
ImplicitCollectionMapperTest,96,1,10
LambdaMapper,38,0,1
LocalConversionMapper,55,2,6
Null,1,0,0
MapperWrapper,208,19,20
OuterClassMapper,70,3,4
1,7,0,1
PackageAliasingMapper,80,4,5
SecurityMapper,56,1,2
1,6,0,1
_0,1,0,0
2,1,0,0
_0,1,0,0
_1,1,0,0
3,1,0,0
SecurityMapperTest,173,2,10
SystemAttributeAliasingMapper,18,0,1
XStream11XmlFriendlyMapper,20,0,3
ValidFilenameFilter,6,0,1
1,41,2,5
XmlMapEntriesIterator,67,3,3
AbstractFilePersistenceStrategy,198,4,14
FilePersistenceStrategy,128,1,5
FilePersistenceStrategyTest,232,1,33
FileStreamStrategy,74,0,4
FileStreamStrategyTest,227,1,32
XmlArrayList,60,1,6
MockedStrategy,30,1,5
XmlArrayListTest,264,1,30
XmlMapEntries,18,0,3
XmlMap,54,1,5
MockedStrategy,30,1,5
XmlMapTest,232,1,26
XmlSet,38,1,4
MockedStrategy,30,1,5
XmlSetTest,190,1,21
AnyTypePermission,21,1,3
ArrayTypePermission,21,1,3
CGLIBProxyTypePermission,22,1,3
1,10,0,1
ExplicitTypePermission,35,1,1
ForbiddenClassException,13,1,0
InterfaceTypePermission,22,1,3
NoPermission,22,1,1
NoTypePermission,22,1,3
NullPermission,11,1,1
PrimitiveTypePermission,22,1,3
ProxyTypePermission,21,1,3
RegExpTypePermission,32,1,2
TypeHierarchyPermission,19,1,1
WildcardTypePermission,58,0,1
CallLog,24,2,4
DynamicSecurityManager,71,3,6
TimeZoneChanger,13,1,2
CharacterCountMetric,40,1,5
DeserializationSpeedMetric,87,2,5
SerializationSpeedMetric,41,1,5
SizeMetric,27,0,5
A100Fields,103,100,0
Parent000,1,1,0
Parent001,1,1,0
Parent002,1,1,0
Parent003,1,1,0
Parent004,1,1,0
Parent005,1,1,0
Parent006,1,1,0
Parent007,1,1,0
Parent008,1,1,0
Parent009,1,1,0
Parent010,1,1,0
Parent011,1,1,0
Parent012,1,1,0
Parent013,1,1,0
Parent014,1,1,0
Parent015,1,1,0
Parent016,1,1,0
Parent017,1,1,0
Parent018,1,1,0
Parent019,1,1,0
Parent020,1,1,0
Parent021,1,1,0
Parent022,1,1,0
Parent023,1,1,0
Parent024,1,1,0
Parent025,1,1,0
Parent026,1,1,0
Parent027,1,1,0
Parent028,1,1,0
Parent029,1,1,0
Parent030,1,1,0
Parent031,1,1,0
Parent032,1,1,0
Parent033,1,1,0
Parent034,1,1,0
Parent035,1,1,0
Parent036,1,1,0
Parent037,1,1,0
Parent038,1,1,0
Parent039,1,1,0
Parent040,1,1,0
Parent041,1,1,0
Parent042,1,1,0
Parent043,1,1,0
Parent044,1,1,0
Parent045,1,1,0
Parent046,1,1,0
Parent047,1,1,0
Parent048,1,1,0
Parent049,1,1,0
Parent050,1,1,0
Parent051,1,1,0
Parent052,1,1,0
Parent053,1,1,0
Parent054,1,1,0
Parent055,1,1,0
Parent056,1,1,0
Parent057,1,1,0
Parent058,1,1,0
Parent059,1,1,0
Parent060,1,1,0
Parent061,1,1,0
Parent062,1,1,0
Parent063,1,1,0
Parent064,1,1,0
Parent065,1,1,0
Parent066,1,1,0
Parent067,1,1,0
Parent068,1,1,0
Parent069,1,1,0
Parent070,1,1,0
Parent071,1,1,0
Parent072,1,1,0
Parent073,1,1,0
Parent074,1,1,0
Parent075,1,1,0
Parent076,1,1,0
Parent077,1,1,0
Parent078,1,1,0
Parent079,1,1,0
Parent080,1,1,0
Parent081,1,1,0
Parent082,1,1,0
Parent083,1,1,0
Parent084,1,1,0
Parent085,1,1,0
Parent086,1,1,0
Parent087,1,1,0
Parent088,1,1,0
Parent089,1,1,0
Parent090,1,1,0
Parent091,1,1,0
Parent092,1,1,0
Parent093,1,1,0
Parent094,1,1,0
Parent095,1,1,0
Parent096,1,1,0
Parent097,1,1,0
Parent098,1,1,0
Parent099,1,1,0
A100Parents,103,0,0
L49,2,1,0
L48,3,1,0
L47,4,1,0
L46,5,1,0
L45,6,1,0
L44,7,1,0
L43,8,1,0
L42,9,1,0
L41,10,1,0
L40,11,1,0
L39,12,1,0
L38,13,1,0
L37,14,1,0
L36,15,1,0
L35,16,1,0
L34,17,1,0
L33,18,1,0
L32,19,1,0
L31,20,1,0
L30,21,1,0
L29,22,1,0
L28,23,1,0
L27,24,1,0
L26,25,1,0
L25,26,1,0
L24,27,1,0
L23,28,1,0
L22,29,1,0
L21,30,1,0
L20,31,1,0
L19,32,1,0
L18,33,1,0
L17,34,1,0
L16,35,1,0
L15,36,1,0
L14,37,1,0
L13,38,1,0
L12,39,1,0
L11,40,1,0
L10,41,1,0
L09,42,1,0
L08,43,1,0
L07,44,1,0
L06,45,1,0
L05,46,1,0
L04,47,1,0
L03,48,1,0
L02,49,1,0
L01,50,1,0
L00,51,1,0
A50InnerClasses,54,0,0
L49,2,1,0
L48,3,1,0
L47,4,1,0
L46,5,1,0
L45,6,1,0
L44,7,1,0
L43,8,1,0
L42,9,1,0
L41,10,1,0
L40,11,1,0
L39,12,1,0
L38,13,1,0
L37,14,1,0
L36,15,1,0
L35,16,1,0
L34,17,1,0
L33,18,1,0
L32,19,1,0
L31,20,1,0
L30,21,1,0
L29,22,1,0
L28,23,1,0
L27,24,1,0
L26,25,1,0
L25,26,1,0
L24,27,1,0
L23,28,1,0
L22,29,1,0
L21,30,1,0
L20,31,1,0
L19,32,1,0
L18,33,1,0
L17,34,1,0
L16,35,1,0
L15,36,1,0
L14,37,1,0
L13,38,1,0
L12,39,1,0
L11,40,1,0
L10,41,1,0
L09,42,1,0
L08,43,1,0
L07,44,1,0
L06,45,1,0
L05,46,1,0
L04,47,1,0
L03,48,1,0
L02,49,1,0
L01,50,1,0
L00,51,1,0
A50StaticInnerClasses,54,0,0
Five,24,4,2
FiveBean,48,4,10
One,16,1,2
OneBean,20,1,4
SerializableFive,34,5,4
SerializableOne,27,2,4
JavaObjectSerialization,17,0,3
XStreamBEAStax,6,0,0
XStreamBinary,21,1,3
XStreamCompact,21,1,3
XStreamDom,6,0,0
1,7,0,1
XStreamDom4J,12,0,0
1,7,0,1
XStreamDriver,38,2,3
XStreamJDom,6,0,0
XStreamKXml2,6,0,0
XStreamKXml2DOM,6,0,0
XStreamSjsxp,6,0,0
XStreamStax,6,0,0
XStreamWoodstox,6,0,0
XStreamXom,6,0,0
XStreamXpp,7,0,0
XStreamXpp3,6,0,0
XStreamXpp3DOM,6,0,0
MetricResult,17,3,0
HtmlReporter,136,5,11
MultiReporter,57,1,8
TextReporter,63,2,9
BasicTarget,30,1,3
RunnableInvocationHandler,16,0,1
ExtendedTarget,69,3,3
JTreeTarget,18,1,3
JavaBeanTarget,32,1,3
ListTarget,25,1,3
Person,25,3,2
ReflectionTarget,24,1,3
SerializableTarget,24,1,3
StringTarget,17,1,3
UserDefinedClassTarget,23,1,3
Harness,48,3,5
InitializationException,11,1,0
OSGiIT,38,1,2
ReadOnlyXStream,16,1,2
1,6,0,1
2,6,0,1
3,29,0,5
4,33,0,5
XStream,1996,31,100
XStreamException,43,1,0
U_U,3,1,0
NonStaticInnerClass,4,2,0
Person,6,4,0
ElementConverter,27,0,3
Component,4,2,0
SelfSerializingComponent,9,0,2
XStreamTest,378,1,21
XStreamer,250,1,11
$Package,3,0,0
